index,name,url,entries
0,coin,http://museumsofindia.gov.in/repository/search/gom_goa/collection/object_type/coin/0/1/214,204
1,sculpture,http://museumsofindia.gov.in/repository/search/gom_goa/collection/object_type/sculpture/0/1/203,193
2,painting,http://museumsofindia.gov.in/repository/search/gom_goa/collection/object_type/painting/0/1/182,172
3,philately,http://museumsofindia.gov.in/repository/search/gom_goa/collection/object_type/philately/0/1/90,80
4,arms,http://museumsofindia.gov.in/repository/search/gom_goa/collection/object_type/arms/0/1/46,36
5,architecture,http://museumsofindia.gov.in/repository/search/gom_goa/collection/object_type/architecture/0/1/46,36
6,textile,http://museumsofindia.gov.in/repository/search/gom_goa/collection/object_type/textile/0/1/12,2
